ID,designation_header,strain_number_header,is_type_strain_header,species,"Genome seq. accession number"
,,,,,GCA_900453365
8511,,"CCUG 58693, DSMZ 44626, ATCC 70071, CDC 90-1019, CIP 106108, DSM 44626, ATCC 700071, JCM 14744",1,"Mycobacterium triplex",GCA_000689255
,,,,,GCA_002102415
8443,,"DSM 44153, ATCC 23292, TMC 1453",1,"Mycobacterium triviale",GCA_002102395
8477,"Fi-25796, ID 3930","CCUG 50996, CIP 106367, JCM 12692, DSM 44338, ATCC BAA 564",1,"Mycobacterium tusciae",GCA_002086795
132766,"Schering 260","DSM 43292, ATCC 15483, NCIB 9937, SN 920, JCM 6389, ATCC 23004, BCRC 17229, CCUG 21003, CECT 3019, CIP 105934, HAMBI 2276, IFO 14118, KCTC 19087, NBRC 14118, NCIMB 9937, NCTC 10916, TMC 1526",1,"Mycobacterium vaccae",GCA_001552715
160319,24,"DSM 105979, CMCC 93559",0,"Mycobacterium vicinigordonae",GCA_013466425
8581,"NLA 000700772","DSM 45247, CIP 109859, CCUG 58459, JCM 18115",1,"Mycobacterium vulneris",GCA_000612885
,,,,,GCA_002104765
136730,"TBC 8878, M0739","DSM 44493, ATCC 700010, CIP 106348, CCUG 48179, CCUG 47168, JCM 13393",1,"Mycobacterium wolinskyi",GCA_002101965
8370,,"DSM 43995, ATCC 19250, NCTC 10042, TMC 1482, JCM 15661, CCUG 28011, CCUG 31306, CIP 104035, CNCTC 7303",1,"Mycobacterium xenopi",GCA_002102015
,,,,,GCA_900453395
163840,,"JCM 30620",0,"Mycobacterium abscessus subsp. massiliense",GCA_010731915
165395,,"JCM 6391, ATCC 19619, NCTC 10486",0,"Mycobacterium sp.",GCA_010726505
165396,,"JCM 6399, ATCC 19710, KCTC 9511",0,"Mycobacterium sp.",GCA_010726765
159627,I10A-01893,"DSM 45590, CECT 8783, KCTC 19843",1,"Mycolicibacterium stellerae",GCA_003719305
1874,103,"DSM 7138, ATCC 4279, JCM 20847, CGMCC 4.1473, HAMBI 2262, IAM 13154, IFO 13291, LMG 4061, NBRC 13291, NCIMB 9439, NRRL B-1091, VKM Ac-911",1,"Mycoplana dimorpha",GCA_003046475
154344,,"CCUG 53180, ATCC 700616",1,"Mycoplasmopsis agassizii",GCA_900176265
139433,,"CIP 71.23, ATCC 23838, NCTC 10129, NBRC 111899",1,"Mycoplasmopsis arginini",GCA_900660725
135139,,"CIP 105677, ATCC 51348, NCTC 11731",1,"Metamycoplasma auris",GCA_003253435
136325,,"CIP 104620, ATCC 27343, NCTC 10154, CCUG 32752",1,"Mycoplasma capricolum",GCA_000012765
24239,"DL 321/93, G5847","DSM 26019, NCTC 13622",1,"Mycoplasma feriruminatoris",GCA_000327395
8627,"N29, PG50","DSM 21131, NCTC 10133",1,"Mycoplasma leachii",GCA_000183365
8611,PG3,"DSM 22061, CCUG 23387, CIP 71.25, NCTC 10137",1,"Mycoplasma mycoides subsp. capri",GCA_000339035
,,,,,GCA_000590435
23145,2F1A,"DSM 22456",0,"Mycoplasma nasistruthionis",GCA_006228185
138491,,"CIP 103926, ATCC 19988, IFO 14799, NCTC 10166",1,"Mesomycoplasma neurolyticum",GCA_900660485
159549,LR5794,"DSM 106703, NCTC 14309, ATCC TSD-141",1,"Mycoplasma procyoni",GCA_017052595
23140,Zaradi2,"DSM 22451",0,"Mycoplasma tauri",GCA_016925555
159547,CSL7491-lung,"DSM 23981, NCTC 13511",0,"Mycoplasma sp.",GCA_018913965
23142,237IA,"DSM 22453",0,"Mycoplasma struthionis",GCA_003855455
8619,,"DSM 21430, ATCC 25204, CIP 104970, NCTC 10124, WVU 1853",1,"Mycoplasmopsis synoviae",GCA_000385095
,,,,,GCA_000969765
,,,,,GCA_900475235
8604,"X95, PG 31","DSM 19817, ATCC 19610, CIP 104967, IFO 14855, NCTC 10115",1,"Mycoplasmoides gallisepticum",GCA_000428645
,,,,,GCA_900476085
8615,FH,"DSM 23978, ATCC 15531, Eaton Agent, NCTC 10119, CIP 103766, NBRC 14401",1,"Mycoplasmoides pneumoniae",GCA_900660465
8596,"5M 331, 5M331, PG 43","DSM 21657, ATCC 19884, ATCC 27748, CIP 71.24, IFO 14857, NBRC 14857, NCTC 10118",1,"Mycoplasmopsis bovirhinis",GCA_900660515
8599,ST-6,"DSM 21477, AMRC-C 1077, ATCC 33461, NCTC 10189",1,"Mycoplasmopsis californica",GCA_000695835
,,,,,GCA_900660595
8603,"PG 16","DSM 19816, ATCC 19708, IFO 14859, NCTC 10120",1,"Mycoplasmopsis gallinarum",GCA_000621085
8610,17529,"DSM 22145, ATCC 25294, CIP 103833, IFO (now NBRC) 14852, NCTC 10153",1,"Mycoplasmopsis meleagridis",GCA_000969625
,,,,,GCA_900660695
8628,1642,"DSM 22457, ATCC BAA 1895",1,"Mycoplasmopsis mucosicanis",GCA_006546935
8617,"Ash, L3, PG34","DSM 22144, ATCC 19612, CIP 75.26, IFO (now NBRC) 14896, NCTC 10139",1,"Mycoplasmopsis pulmonis",GCA_900660575
8624,UCMF,"DSM 22021, ATCC 51945, CIP 105812",1,"Mycoplasmopsis sturni",GCA_000701485
24032,IM13,"DSM 26542, NBIMCC 8736",1,"Myroides guanonis",GCA_900114085
131511,,"DSM 28213, NCIM 5555, UKS 3",1,"Myroides indicus",GCA_004364575
5623,JS-08,"DSM 23048, JCM 16529, KCTC 23023, CIP 110392",1,"Myroides marinus",GCA_900109075
136162,,"CIP 103059, LMG 14970",0,"Myroides odoratimimus",GCA_000297875
137835,,"CIP 101113, LMG 14961, ATCC 700470",0,"Myroides odoratimimus",GCA_000242135
141620,,"CCUG 3837, LMG 12836",0,"Myroides odoratimimus",GCA_000297855
142065,,"CCUG 10230",0,"Myroides odoratimimus",GCA_000242075
142500,,"CCUG 12700",0,"Myroides odoratimimus",GCA_000413415
142542,,"CCUG 12901",0,"Myroides odoratimimus",GCA_000242095
138182,,"CIP 105170, NCTC 11180, LMG 4029, CCUG 39352, DSM 112291, JCM 7460, ATCC BAA 634, CCM 3298, CGMCC 1.10437",1,"Myroides odoratimimus",GCA_001485415
,,,,,GCA_900453765
130327,TH-19,"DSM 27251, CCTCC AB 2013145, JCM 19200",1,"Myroides odoratimimus subsp. xuanwuensis",GCA_900142635
5621,,"DSM 2801, ATCC 4651, IAM 14199, JCM 7458, NCTC 11036, CCUG 7321, LMG 1233, BCRC 10678, CCM 3296, CECT 998, CIP 103105, IFO 14945, NBRC 14945",1,"Myroides odoratus",GCA_000243275
,,,,,GCA_900453865
5620,CL41/66,"DSM 2802, ATCC 29979, NCTC 11179, JCM 7459, CCM 3297, LMG 4028",0,"Bartonella mastomysi",GCA_900453725
5624,MY15,"DSM 23313, LMG 25566, JCM 17139",1,"Myroides phaeus",GCA_900099675
5622,D25,"DSM 19823, CCTCC M 208030, CIP 110414, KCTC 23066",1,"Myroides profundi",GCA_000833025
,,,,,GCA_900111065
9593,M17,"DSM 16525, ATCC 25199",1,"Myxococcus fulvus",GCA_900111765
10096,"Mx s8","DSM 14675, JCM 12634",1,"Myxococcus stipitatus",GCA_000331735
9804,M22,"DSM 2260, ATCC 25203",1,"Myxococcus virescens",GCA_900101905
9984,FB,"DSM 16526, ATCC 25232, CCUG 2079, CIP 107069, IFO 13542, NBRC 13542, NCIMB 9412, ATCC 19368",1,"Myxococcus xanthus",GCA_900106535
133894,ZLM-10,"CCTCC AB 208222, KCTC 23983",1,"Nafulsella turpanensis",GCA_000346615
166309,,"CGMCC 4.7629, NBRC 114017, YIM 132087",1,"Nakamurella albus",GCA_009707545
166422,12Sc4-1,"KCTC 49114, CGMCC 1.16555",1,"Nakamurella deserti",GCA_003260015
132455,2Q3S-4-2,"DSM 100722, CGMCC 4.7308, JCM 31778",1,"Nakamurella endophytica",GCA_014646215
23147,DS-52,"DSM 26917, CIP 108919, JCM 15652, KCTC 19127, NBRC 105867",1,"Nakamurella flavida",GCA_016918095
10174,DLS-10,"DSM 19367, JCM 16024, KCTC 19285, DLS 10, NBRC 106258",1,"Nakamurella lactea",GCA_000426645
10173,Y-104,"DSM 44233, ATCC 700099, CIP 104796, JCM 9543, CCM 4621, FERM P-14709, NBRC 105858",1,"Nakamurella multipartita",GCA_000024365
23148,P4-7,"DSM 26919, CECT 7604, KCTC 19426, JCM 31706",0,"Nakamurella panacisegetis",GCA_900104535
133020,S20-107,"DSM 102309, LMG 29427",1,"Nakamurella silvestris",GCA_003576535
10177,"Na e1","DSM 71, ATCC 25963, NBRC 100083",1,"Nannocystis exedens",GCA_900112715
10312,"Na p20","DSM 53165",0,"Nannocystis pusilla",GCA_020073745
17654,JW/NM-WN-LF,"DSM 18059, ATCC BAA 1301",1,"Natranaerobius thermophilus",GCA_000020005
17655,JW/NM-WN-LU,"DSM 18760, ATCC BAA 1443",1,"Natranaerobius trueperi",GCA_002216005
18087,APP2,"DSM 24176, UNIQEM U806",1,"Natranaerovirga hydrolytica",GCA_004339095
18086,AP3,"DSM 24629, UNIQEM U805",1,"Natranaerovirga pectinivora",GCA_004342165
5963,"40, 48-98","DSM 13077, JCM 11194, CGMCC 1.6167, NBRC 102636",1,"Natrialba aegyptia",GCA_000337535
5961,172P1,"DSM 12278, CIP 105332, FERM P-10747, JCM 9576, ATCC 700177, NBRC 102637",1,"Natrialba asiatica",GCA_000337555
130845,C112,"DSM 29986, AS 1.1977, JCM 10990, NBRC 102638, CGMCC 1.1977",1,"Natrialba chahannaoensis",GCA_000337135
130844,X21,"DSM 29987, AS 1.1986, JCM 10989, NBRC 102639, CGMCC 1.1986",1,"Natrialba hulunbeirensis",GCA_000337575
5960,MS3,"DSM 3394, ATCC 43099, CCM 3739, NCMB 2190, JCM 8861, CGMCC 1.1966, CIP 104546, IAM 13178, NBRC 102185, NCIMB 2190",1,"Natrialba magadii",GCA_000025625
,,,,,GCA_000337875
5962,B1T,"DSM 12281, JCM 9577, CGMCC 1.6185, NBRC 102640",1,"Natrialba taiwanensis",GCA_000337595
1570,HN30,"DSM 21771, JCM 15649",1,"Natribacillus halophilus",GCA_900100185
161280,,"JCM 12890, CGMCC 1.3731",1,"Natrinema altunense",GCA_000337155
5893,EJ-57,"DSM 18194, CECT 7144, CGMCC 1.6202, JCM 13890",1,"Natrinema longum",GCA_002494345
134340,HIS40-3,"BCC 24370, JCM 14663, PCU 303",1,"Natrinema gari",GCA_000337175
5889,2,"DSM 3751, ATCC 43214, NCMB 777, JCM 8980, CGMCC 1.3707, CGMCC 1.6163, CIP 106292, NCIMB 777",1,"Natrinema pallidum",GCA_000337615
5891,157,"DSM 15624, CIP 106293, JCM 10476, NCIMB 786, CGMCC 1.3708, CGMCC 1.6174, IAM 13169",1,"Natrinema pellirubrum",GCA_000230735
,,,,,GCA_000337635
5895,MDB25,"DSM 25055, CECT 8172, JCM 17869",1,"Natrinema salaciae",GCA_900110865
5892,XF10,"DSM 16034, ANMR 0149, AS 1.2365, JCM 10478, CGMCC 1.2365",1,"Natrinema versiforme",GCA_000337195
2503,Z-0511,"DSM 18346, VKM B-2402",1,"Natronincola ferrireducens",GCA_900100845
2504,Z-7031,"DSM 18979, VKM B-2503",1,"Natronincola peptidivorans",GCA_900111615
131258,294-194-5,"DSM 27208, CECT 7630, JCM 16593",1,"Natronoarchaeum philippinense",GCA_900215575
5964,SP2,"DSM 3393, ATCC 43098, CCM 3738, NCMB 2189, CCUG 28374, JCM 17874, CIP 104747, IAM 13177, JCM 8860, NBRC 102187, NCIMB 14426, VKM B-1750",1,"Natronobacterium gregoryi",GCA_000230715
,,,,,GCA_000337655
,,,,,GCA_002855455
,,,,,GCA_900114025
24083,B23,"DSM 24767, CECT 8068, JCM 17655",1,"Natronobacterium texcoconense",GCA_900104065
5966,Ah-36,"DSM 10524, JCM 9655, ATCC 51971, CGMCC 1.3840, CIP 105333, FERM P-11024",1,"Natronococcus amylolyticus",GCA_000337675
5967,B1,"DSM 18795, CECT 7216, JCM 14583, KCTC 4018, CGMCC 1.7070, NBRC 110680",1,"Natronococcus jeotgali",GCA_000337695
5965,SP4,"DSM 3396, ATCC 43101, CCM 3871, NCMB 2192, JCM 8859, CIP 104548, IAM 13184, NBRC 102186, NCIMB 2192, VKM B-1752",1,"Natronococcus occultus",GCA_000328685
17814,AP1,"DSM 24179, UNIQEM U807",1,"Natronoflexus pectinivorans",GCA_004345615
160345,ACPA22,"DSM 106290, VKM Ac-2771",1,"Natronoglycomyces albus",GCA_016925535
161205,,"JCM 12253, CGMCC 1.3597",1,"Natronolimnobius baerhuensis",GCA_001316185
,,,,,GCA_002177135
161207,,"JCM 12255, CGMCC 1.2124",1,"Natronolimnohabitans innermongolicus",GCA_000337215
5898,"8.8.11, CSW8.8.11","DSM 18674, CECT 7526, JCM 14361",1,"Natronomonas moolapensis",GCA_000591055
5896,Gabara,"DSM 2160, ATCC 35678, JCM 8858, CCM 3872, CIP 103997, IFO 14720, NBRC 14720, NCIMB 2260, VKM B-1749",1,"Natronomonas pharaonis",GCA_000026045
134191,7-3,"CGMCC 1.4299, JCM 13488",1,"Natronorubrum aibiense",GCA_009392895
161009,,"JCM 10635, CGMCC 1.1984, CIP 107015",1,"Natronorubrum bangense",GCA_000337715
,,,,,GCA_004799645
133563,CG-6,"CECT 7487, CGMCC 1.8981, JCM 15982",1,"Natronorubrum sediminis",GCA_900108095
134219,AD2,"CGMCC 1.6307, JCM 14089",1,"Natronorubrum sulfidifaciens",GCA_000337735
24071,B4,"DSM 25211, CECT 8067, JCM 17497",1,"Natronorubrum texcoconense",GCA_900100335
5899,"98.3, GA33","DSM 13204, AS 1.2123, JCM 10636, CGMCC 1.2123, CIP 107016",1,"Natronorubrum tibetense",GCA_000337235
,,,,,GCA_000383975
140343,AFT2,"DSM 103164, CCTCC AB 2015428, JCM 33579",1,"Naumannella cuiyingiana",GCA_013408305
12674,,"DSM 24323, LMG 26184, WS 4616, JCM 30997",1,"Naumannella halotolerans",GCA_004364645
10430,AmH,"DSM 18972, ATCC BAA 1463",1,"Nautilia profundicola",GCA_000021725
17206,,"DSM 21255, CCUG 56017, CIP 109806, ADV 07/08/06-B-1388, AIP 149.07",1,"Negativicoccus succinicivorans",GCA_014207605
24762,J221,"DSM 28678, CGMCC 1.10130, NRRL B-51319",1,"Neiella marina",GCA_002165625
,,,,,GCA_014636195
10487,,"DSM 23392, ATCC 49930, CCUG 808, CIP 72.15, NCTC 10212, CCUG 26879, ATCC 19573",1,"Neisseria animalis",GCA_003795365
,,,,,GCA_008806995
,,,,,GCA_900636515
10493,"CL 191/78, Vandamme R-24680","DSM 21642, ATCC 29858, CDC D8251, LMG 23011, NCTC 12228",1,"Neisseria animaloris",GCA_002108605
,,,,,GCA_900637855
135433,,"CIP 104148, NCTC 12227, LMG 23010",0,"Neisseria animaloris",GCA_900638345
140279,KH1503,"DSM 103136, ATCC TSD-57",1,"Neisseria arctica",GCA_001027865
10492,,"DSM 23338, ATCC BAA 1200, CCUG 50858, MDA 2833",1,"Neisseria bacilliformis",GCA_014055025
10485,H6,"DSM 18000, ATCC 14687, CCUG 2153, CIP 103347, LMG 8383, NCTC 10296, CCUG 56775",1,"Neisseria canis",GCA_002108495
,,,,,GCA_900636765
10466,,"DSM 4630, ATCC 14685, NCTC 10294",1,"Neisseria cinerea",GCA_000173895
,,,,,GCA_900475315
10491,SH1/3848,"DSM 19151, ATCC 700276, CIP 106968, CCUG 53898",1,"Neisseria dentiae",GCA_002108595
,,,,,GCA_014055005
158278,93087,"DSM 104677, LMG 30012",1,"Neisseria dumasiana",GCA_002108505
10482,,"DSM 17712, ATCC 25295, CCUG 2130A, CIP 72.27, LMG 5124, NCTC 10660",1,"Neisseria elongata",GCA_900113545
,,,,,GCA_900453895
10488,,"DSM 23337, ATCC 29315, CCUG 6508 A, CIP 82.85, NCTC 11050",1,"Neisseria elongata subsp. glycolytica",GCA_000176755
,,,,,GCA_000818035
,,,,,GCA_900475815
10480,N155,"DSM 17633, ATCC 13120, CCUG 345, CIP 73.15, LMG 5297, NCTC 8263",1,"Neisseria flavescens",GCA_005221285
,,,,,GCA_900453805
10470,B5025,"CCUG 26876, CIP 79.18, DSM 9188, ATCC 19424, NCTC 8375, JCM 33543",1,"Neisseria gonorrhoeae",GCA_003315235
10471,"89-018314, F-18, P935","DSM 9189, ATCC 49226, CCUG 26213, CDC 10.001",0,"Neisseria gonorrhoeae",GCA_001997645
,,,,,GCA_016803895
10467,,"DSM 4691, ATCC 23970, NCTC 10617, CCUG 5853, CIP 72.17, CCM 4401, NCDC A7515",1,"Neisseria lactamica",GCA_000173995
,,,,,GCA_000741965
,,,,,GCA_901482445
138025,,"CIP 102541, ATCC 23971, NCTC 10618",0,"Neisseria lactamica",GCA_900454095
141308,,"CCUG 796, ATCC 23972, NCTC 10616",0,"Neisseria lactamica",GCA_900454145
10473,"21, M 1027","DSM 10036, ATCC 13077, NCTC 10025, CCUG 3269, CIP 73.10, JCM 33544",1,"Neisseria meningitidis",GCA_900638555
10474,FAM18,"DSM 15464",0,"Neisseria meningitidis",GCA_000009465
10475,Z2491,"DSM 15465",0,"Neisseria meningitidis",GCA_000009105
139503,,"CIP 104218, ATCC 13090, NCTC 10026, CCUG 3270",0,"Neisseria meningitidis",GCA_900638605
141572,,"CCUG 3271, ATCC 13102, NCTC 8554",0,"Neisseria meningitidis",GCA_900453955
141573,,"CCUG 3272, ATCC 13113, NCTC 9714",0,"Neisseria meningitidis",GCA_900454045
10469,,"DSM 17611, ATCC 19696, CIP 59.51, NCTC 12978, CCUG 26877, JCM 12992",1,"Neisseria mucosa",GCA_003028315
10490,"LNP N 462","DSM 22809, ATCC 43768, CCUG 18030, CIP 100113, NCTC 11858",1,"Neisseria polysaccharea",GCA_000176735
10496,"871, WC 08-871","CCUG 59856, DSM 22246, CIP 109933",1,"Neisseria shayeganii",GCA_000226875
10495,"12337, WC 04-12337","DSM 22244, CIP 109932, CCUG 60228",0,"Neisseria shayeganii",GCA_014054965
10483,"Berger 6b","DSM 17713, ATCC 29256, ATCC 49276, CCUG 23929, CCUG 24959, LMG 5290, NRL 30016, LMG 5312, NRL 30,016",1,"Neisseria sicca",GCA_000174655
,,,,,GCA_014054945
,,,,,GCA_019334765
10468,,"DSM 4631, ATCC 25996, NCTC 10774",0,"Neisseria sp.",GCA_000173875
,,,,,GCA_900454435
10478,37,"DSM 17610, ATCC 49275, CCUG 23930, CIP 103343, LMG 5313, NRL 30017, LMG 5921, CCM 4407",1,"Neisseria subflava",GCA_005221305
10498,"9715, WC 05-9715","CCUG 59855, DSM 22247, CIP 109934",1,"Neisseria wadsworthii",GCA_000227765
10497,"2507, WC 05-2507","DSM 22245, CIP 109931, CCUG 60227",0,"Neisseria wadsworthii",GCA_014054885
10481,ISL775/91,"DSM 17688, ATCC 51410, CCM 4587, CCUG 4007, CIP 103940, LMG 5135, NCTC 12742",1,"Neisseria weaveri",GCA_000224255
,,,,,GCA_900638685
146284,,"CCUG 30799, ATCC 51223, CCM 4588",0,"Neisseria weaveri",GCA_000224275
10494,"CL 194/78, Vandamme R-24681","DSM 21643, ATCC 29859, CDC D5986, LMG 23012, NCTC 12230",1,"Neisseria zoodegmatis",GCA_002108575
,,,,,GCA_900187305
1214,"IDA 1115, R-16315","DSM 15601, CIP 108807, LMG 21833, JCM 21706, IAM 15255",1,"Neobacillus bataviensis",GCA_000307875
132382,Ap-6,"DSM 101566, CCM 8651, CIP 110974",1,"Neobacillus cucumis",GCA_016908975
1213,"IDA 1937, R-16337","DSM 15600, CIP 108808, LMG 21831, JCM 21707, IAM 15256, NBRC 102427",1,"Neobacillus drentensis",GCA_001591445
1251,,"DSM 18237, LMG 17489, NCIMB 13771, Rcp Sm1, JCM 21708, CIP 106910, IAM 15257, KCTC 13885, KCTC 3851, LMG 19448, NBRC 102428",1,"Neobacillus fumarioli",GCA_001591485
130866,JCE,"DSM 28281, CSUR P732",1,"Neobacillus jeddahensis",GCA_000612625
130195,FJAT-13985,"DSM 25968, CGMCC 1.12238",1,"Neobacillus mesonae",GCA_001636315
1091,,"DSM 2923, IFO 15566, NBRC 15566, JCM 12306, CGMCC 1.3663, CIP 104585, IAM 15261, KCTC 3562, LMG 16677, NCIMB 13159, NRRL B-23384",1,"Neobacillus niacini",GCA_000768265
,,,,,GCA_001591505
140352,SYP-B691,"DSM 29196, JCM 30743",1,"Neobacillus notoginsengisoli",GCA_003515685
1216,"IDA 3307, R-15439","DSM 15603, CIP 108805, LMG 21837, JCM 21709, IAM 15258, NBRC 102450",1,"Neobacillus novalis",GCA_001591805
1217,"IDA 0086, R-16300","DSM 15604, CIP 108804, LMG 21838, JCM 21710, IAM 15259, KCTC 13572, NBRC 102451",1,"Neobacillus soli",GCA_001591665
,,,,,GCA_002335815
1215,"IDA 3632, R-15447","DSM 15602, CIP 108806, LMG 21834, JCM 21711, IAM 15260, KCTC 13573, NBRC 102452",1,"Neobacillus vireti",GCA_000508325
,,,,,GCA_001026695
24295,"TUME-1, TUME1","DSM 27441",0,"Neochlamydia sp.",GCA_000813645
24296,EPS4,"DSM 27556",0,"Neochlamydia sp.",GCA_000813665
7141,GR1,"DSM 15528, ATCC BAA 740",1,"Neomegalonema perideroedes",GCA_000374145
140035,DY66,"DSM 105783, JCM 16364, KCTC 19557, NBRC 109060",1,"Neomicrococcus aestuarii",GCA_014201135
7758,DW152,"DSM 23694, MCC 2278, MTCC 10523, JCM 19249",1,"Neomicrococcus lactis",GCA_014200305
13638,,"DSM 21826, CCBAU 01393, HAMBI 3051, LMG 24763",1,"Neorhizobium alkalisoli",GCA_002968635
13626,,"DSM 11542, ATCC 43677, CIP 105585, JCM 20973, LMG 6214, NBRC 14965, CCUG 27880, HAMBI 540, IAM 13631, IFO 14965, NZP 5563, OUT 30006",1,"Neorhizobium galegae",GCA_000731315
13632,"S 02, S02","DSM 21817, ATCC BAA 115, CIP 105757, LMG 18254",1,"Neorhizobium huautlense",GCA_002968575
158718,S27-2,"KCTC 52335, MCCC 1A02149",1,"Neptunicella marina",GCA_014270035
11283,S3-22,"DSM 22306, CCTCC AB 209086, KACC 14056",1,"Neptunomonas antarctica",GCA_001305295
,,,,,GCA_900156635
133788,LHW37,"KACC 15543, JCM 17730, BCRC 81037",1,"Neptunomonas concharum",GCA_006148955
,,,,,GCA_008630635
11282,,"DSM 18939, JCM 14595, JAMM 0745",1,"Neptunomonas japonica",GCA_000422765
133855,P10-2-4,"CGMCC 1.10971, KCTC 23686",1,"Neptunomonas qingdaonensis",GCA_016082375
,,,,,GCA_900113275
13682,2SM4,"DSM 16309, CCUG 49433, CECT 5292, CIP 108404",1,"Nereida ignava",GCA_001049735
,,,,,GCA_001404155
,,,,,GCA_900114125
7771,,"DSM 19423, CCTCC AB 207011, JCM 16549, CAAS 252, NBRC 107629",1,"Nesterenkonia alba",GCA_000421745
162607,,"JCM 19766, CGMCC 1.12781, LMG 28112, MCCC 1A09946",1,"Nesterenkonia alkaliphila",GCA_014639295
132446,CK5,"DSM 27373, JCM 19723",1,"Nesterenkonia aurantiaca",GCA_004364585
140586,10C,"LMG 29100, KCTC 39636, CGMCC 1.15388",1,"Nesterenkonia cremea",GCA_014642675
7772,,"DSM 16378, JCM 19556, KCTC 19048, YIM 70179, JCM 16019",1,"Nesterenkonia halophila",GCA_009467795
7764,,"DSM 15474, CCTCC AA 001022, YIM 70084, JCM 13018, KCTC 19014",1,"Nesterenkonia halotolerans",GCA_014874065
7769,JG-241,"DSM 19081, JCM 12610, KCTC 19053, CIP 109490, NCIMB 14784",1,"Nesterenkonia jeotgali",GCA_014138825
7763,,"CCUG 47141, JCM 11953, DSM 12544, CIP 107030, IFAM EL-30",1,"Nesterenkonia lacusekhoensis",GCA_017876395
7766,,"DSM 15666, CCTCC AA 203010, CIP 108679, KCTC 19013, YIM 70081, JCM 13019, CIP 107970, JCM 19019",1,"Nesterenkonia lutea",GCA_014873955
130434,NP1,"DSM 26221, CSUR P244",1,"Nesterenkonia massiliensis",GCA_000455245
164194,M8,"JCM 32100, CGMCC 1.16706, MCC 3367",1,"Nesterenkonia natronophila",GCA_003595215
140783,BV-35,"NCAIM B 02606, DSM 29786",1,"Nesterenkonia pannonica",GCA_019575955
130435,GP10-3,"DSM 27959, JCM 31979, KCTC 29119",1,"Nesterenkonia populi",GCA_007994735
7767,,"DSM 15664, CCTCC AA 203007, CIP 108680, KCTC 19011, YIM 70009, JCM 13020",1,"Nesterenkonia sandarakina",GCA_013410215
162387,,"JCM 19054",0,"Nesterenkonia sp.",GCA_001310495
7765,,"DSM 15475, CCTCC AA 001025, YIM 70097, JCM 13021, KCTC 19016",1,"Nesterenkonia xinjiangensis",GCA_013410745
17659,Soe1,"DSM 11499",1,"Nevskia ramosa",GCA_000420645
17661,GR15-1,"DSM 19509, KACC 11703",1,"Nevskia soli",GCA_000711955
17758,R2A15-11,"DSM 17617, CIP 109580, KACC 11698",1,"Niabella aurantiaca",GCA_000374125
24735,E90,"CCUG 62505, DSM 25811, CCM 8410, LMG 26954",1,"Niabella drilacis",GCA_900101395
17759,JS13-8,"DSM 19437, KACC 12604",1,"Niabella soli",GCA_000243115
642,"Ford 26","DSM 11, ATCC 4513, CCM 2048, JCM 2504, LMG 13261, NCIB 9374, NCTC 2610, CCUG 7416, ATCC 9140, ATCC 24, BCRC 10605, CECT 10, CIP 52.75, HAMBI 1911, IAM 12462, IAM 14175, IFO 13626, KCTC 3347, LMG 6926, NBRC 13626, NCCB 75011, NCFB 1775, NCIMB 9374, NRRL B-378, NRRL B-380, VKM B-1242, VTT E-95570",1,"Niallia circulans",GCA_001591585
,,,,,GCA_900445325
1209,Fo-92,"DSM 15077, ATCC BAA 519",1,"Niallia nealsonii",GCA_002835805
132021,Mt14,"DSM 100592, CSUR P1909",0,"Niameybacter massiliensis",GCA_001282685
17756,GR20-10,"DSM 17620, KACC 11465",1,"Niastella koreensis",GCA_000246855
,,,,,GCA_002077985
133537,THYL-44,"CCTCC AB 208238, KCTC 22560",1,"Niastella populi",GCA_002078015
140864,DJ57,"KCTC 42474, CCTCC AB 2015052",1,"Niastella vici",GCA_002077945
17757,GR20-13,"DSM 17621, KACC 11466",1,"Niastella yeongjuensis",GCA_002077935
,,,,,GCA_900110245
166361,BT10,"KCTC 62607, NBRC 114383",1,"Nibribacter ruber",GCA_009913235
11728,"D1522_98, JF2139","DSM 16380, CCUG 43639, CIP 108715",1,"Nicoletella semolina",GCA_004345745
140471,JS7-11,"MCCC 1A00710, KCTC 42144",1,"Nioella sediminis",GCA_001879695
13946,DR41_21,"DSM 18348, CIP 109265, OOB 129",1,"Nisaea denitrificans",GCA_000426505
13947,DR41_18,"DSM 19540, CIP 109601, OOB 128",1,"Nisaea nitritireducens",GCA_014904795
10423,E9I37-1,"DSM 16511, JCM 12458",1,"Nitratifractor salsuginis",GCA_000186245
140601,2-2-12-1,"CGMCC 1.15320, LMG 29090",1,"Nitratireductor aestuarii",GCA_014641695
11871,NL21,"DSM 15645, ATCC BAA 762, JCM 21793, CGMCC 1.8928, IAM 15348",1,"Nitratireductor aquibiodomus",GCA_000615975
133633,"RC92-7, C115","CCTCC AB 209298, LMG 25540, MCCC 1A01260",1,"Nitratireductor indicus",GCA_000300515
11872,,"DSM 19185, JCM 14851, KACC 11904, Ky 101, NBRC 106418",1,"Nitratireductor kimnyeongensis",GCA_019891395
10424,MI55-1,"DSM 16512, JCM 12459",1,"Nitratiruptor tergarcus",GCA_900176045
17693,ANL-iso2,"DSM 45188, NBRC 105792, NCCB 100119, UNIQEM U239",1,"Nitriliruptor alkaliphilus",GCA_000969705
140898,MEB087,"KCTC 42948, JCM 19317",1,"Nitrincola alkalisediminis",GCA_009821115
11284,4CA,"DSM 16316, ATCC BAA 920",1,"Nitrincola lacisaponensis",GCA_000691225
